sex,dose,type_vax,month,Ageband,B_COAGDIS_AESI_b,B_DIC_AESI_b,B_HAEMOPHAGOLYNPHOHISTIO_AESI_b,B_ITP_AESI_b,B_TTS_AESI_b,C_ARRH_AESI_b,C_CAD_AESI_b,C_MYOCARD_AESI_b,C_PERICARD_AESI_b,D_LIVERACUTE_AESI_b,D_PANCRACUTE_AESI_b,E_DM1_AESI_b,E_THYROIDAUTOIMM_AESI_b,E_THYROIDSUBACUTE_AESI_b,G_KIACUTE_AESI_b,Im_KAWASAKI_AESI_b,M_RHABDOMYOLISIS_AESI_b,N_ADEM_AESI_b,N_BELLP_AESI_b,N_CONVULGEN_AESI_b,N_CVST_AESI_b,N_GBS_AESI_b,N_HEARINGLOSS_AESI_b,N_MENINGOENC_AESI_b,N_MYELITISTRANSV_AESI_b,N_NARCOLEPSY_AESI_b,N_STROKEHEMO_AESI_b,O_DEATHSUDDEN_AESI_b,O_MIS_AESI_b,R_ARDS_AESI_b,Sk_ERYTHMULTI_AESI_b,Sk_SCAR_AESI_b,SO_ANOSMIAAGEUSIA_AESI_b,V_CHILBLAIN_AESI_b,V_MICROANGIO_AESI_b,V_THROMBOSISARTERIALALGOR_AESI_b,V_VASCULITISSINGLEORG_AESI_b,V_VTEALGORITHM_AESI_b,C_VALVULAR_COV_b,D_DIVERTICULITIS_AESI_b,D_GALLSTONES_COV_b,D_LIVERCIRRHOSIS_COV_b,E_GOUT_COV_b,G_UTI_COV_b,I_CLOSTRIDIUMD_COV_b,I_INFLUENZA_COV_b,Im_SJOGRENS_COV_b,M_FRACTURES_COV_b,M_OSTEOARTHRITIS_COV_b,M_OSTEOMYELITIS_COV_b,M_REACTIVEARTHRITIS_COV_b,Ment_ORGPSYCHOSIS_COV_b,N_TRIGEMINALNEURALGIA_COV_b,SO_CONJUNCTIVITIS_COV_b,SO_OTITISEXT_COV_b,V_RENOVASCULAR_COV_b,Im_ANAPHYLAXIS_AESI_b,year,IR_B_COAGDIS_AESI,lb_B_COAGDIS_AESI,ub_B_COAGDIS_AESI,IR_B_DIC_AESI,lb_B_DIC_AESI,ub_B_DIC_AESI,IR_B_HAEMOPHAGOLYNPHOHISTIO_AESI,lb_B_HAEMOPHAGOLYNPHOHISTIO_AESI,ub_B_HAEMOPHAGOLYNPHOHISTIO_AESI,IR_B_ITP_AESI,lb_B_ITP_AESI,ub_B_ITP_AESI,IR_B_TTS_AESI,lb_B_TTS_AESI,ub_B_TTS_AESI,IR_C_ARRH_AESI,lb_C_ARRH_AESI,ub_C_ARRH_AESI,IR_C_CAD_AESI,lb_C_CAD_AESI,ub_C_CAD_AESI,IR_C_MYOCARD_AESI,lb_C_MYOCARD_AESI,ub_C_MYOCARD_AESI,IR_C_PERICARD_AESI,lb_C_PERICARD_AESI,ub_C_PERICARD_AESI,IR_D_LIVERACUTE_AESI,lb_D_LIVERACUTE_AESI,ub_D_LIVERACUTE_AESI,IR_D_PANCRACUTE_AESI,lb_D_PANCRACUTE_AESI,ub_D_PANCRACUTE_AESI,IR_E_DM1_AESI,lb_E_DM1_AESI,ub_E_DM1_AESI,IR_E_THYROIDAUTOIMM_AESI,lb_E_THYROIDAUTOIMM_AESI,ub_E_THYROIDAUTOIMM_AESI,IR_E_THYROIDSUBACUTE_AESI,lb_E_THYROIDSUBACUTE_AESI,ub_E_THYROIDSUBACUTE_AESI,IR_G_KIACUTE_AESI,lb_G_KIACUTE_AESI,ub_G_KIACUTE_AESI,IR_Im_ANAPHYLAXIS_AESI,lb_Im_ANAPHYLAXIS_AESI,ub_Im_ANAPHYLAXIS_AESI,IR_Im_KAWASAKI_AESI,lb_Im_KAWASAKI_AESI,ub_Im_KAWASAKI_AESI,IR_M_RHABDOMYOLISIS_AESI,lb_M_RHABDOMYOLISIS_AESI,ub_M_RHABDOMYOLISIS_AESI,IR_N_ADEM_AESI,lb_N_ADEM_AESI,ub_N_ADEM_AESI,IR_N_BELLP_AESI,lb_N_BELLP_AESI,ub_N_BELLP_AESI,IR_N_CONVULGEN_AESI,lb_N_CONVULGEN_AESI,ub_N_CONVULGEN_AESI,IR_N_CVST_AESI,lb_N_CVST_AESI,ub_N_CVST_AESI,IR_N_GBS_AESI,lb_N_GBS_AESI,ub_N_GBS_AESI,IR_N_HEARINGLOSS_AESI,lb_N_HEARINGLOSS_AESI,ub_N_HEARINGLOSS_AESI,IR_N_MENINGOENC_AESI,lb_N_MENINGOENC_AESI,ub_N_MENINGOENC_AESI,IR_N_MYELITISTRANSV_AESI,lb_N_MYELITISTRANSV_AESI,ub_N_MYELITISTRANSV_AESI,IR_N_NARCOLEPSY_AESI,lb_N_NARCOLEPSY_AESI,ub_N_NARCOLEPSY_AESI,IR_N_STROKEHEMO_AESI,lb_N_STROKEHEMO_AESI,ub_N_STROKEHEMO_AESI,IR_O_DEATHSUDDEN_AESI,lb_O_DEATHSUDDEN_AESI,ub_O_DEATHSUDDEN_AESI,IR_O_MIS_AESI,lb_O_MIS_AESI,ub_O_MIS_AESI,IR_R_ARDS_AESI,lb_R_ARDS_AESI,ub_R_ARDS_AESI,IR_Sk_ERYTHMULTI_AESI,lb_Sk_ERYTHMULTI_AESI,ub_Sk_ERYTHMULTI_AESI,IR_Sk_SCAR_AESI,lb_Sk_SCAR_AESI,ub_Sk_SCAR_AESI,IR_SO_ANOSMIAAGEUSIA_AESI,lb_SO_ANOSMIAAGEUSIA_AESI,ub_SO_ANOSMIAAGEUSIA_AESI,IR_V_CHILBLAIN_AESI,lb_V_CHILBLAIN_AESI,ub_V_CHILBLAIN_AESI,IR_V_MICROANGIO_AESI,lb_V_MICROANGIO_AESI,ub_V_MICROANGIO_AESI,IR_V_THROMBOSISARTERIALALGOR_AESI,lb_V_THROMBOSISARTERIALALGOR_AESI,ub_V_THROMBOSISARTERIALALGOR_AESI,IR_V_VASCULITISSINGLEORG_AESI,lb_V_VASCULITISSINGLEORG_AESI,ub_V_VASCULITISSINGLEORG_AESI,IR_V_VTEALGORITHM_AESI,lb_V_VTEALGORITHM_AESI,ub_V_VTEALGORITHM_AESI,IR_C_VALVULAR_COV,lb_C_VALVULAR_COV,ub_C_VALVULAR_COV,IR_D_DIVERTICULITIS_AESI,lb_D_DIVERTICULITIS_AESI,ub_D_DIVERTICULITIS_AESI,IR_D_GALLSTONES_COV,lb_D_GALLSTONES_COV,ub_D_GALLSTONES_COV,IR_D_LIVERCIRRHOSIS_COV,lb_D_LIVERCIRRHOSIS_COV,ub_D_LIVERCIRRHOSIS_COV,IR_E_GOUT_COV,lb_E_GOUT_COV,ub_E_GOUT_COV,IR_G_UTI_COV,lb_G_UTI_COV,ub_G_UTI_COV,IR_I_CLOSTRIDIUMD_COV,lb_I_CLOSTRIDIUMD_COV,ub_I_CLOSTRIDIUMD_COV,IR_I_INFLUENZA_COV,lb_I_INFLUENZA_COV,ub_I_INFLUENZA_COV,IR_Im_SJOGRENS_COV,lb_Im_SJOGRENS_COV,ub_Im_SJOGRENS_COV,IR_M_FRACTURES_COV,lb_M_FRACTURES_COV,ub_M_FRACTURES_COV,IR_M_OSTEOARTHRITIS_COV,lb_M_OSTEOARTHRITIS_COV,ub_M_OSTEOARTHRITIS_COV,IR_M_OSTEOMYELITIS_COV,lb_M_OSTEOMYELITIS_COV,ub_M_OSTEOMYELITIS_COV,IR_M_REACTIVEARTHRITIS_COV,lb_M_REACTIVEARTHRITIS_COV,ub_M_REACTIVEARTHRITIS_COV,IR_Ment_ORGPSYCHOSIS_COV,lb_Ment_ORGPSYCHOSIS_COV,ub_Ment_ORGPSYCHOSIS_COV,IR_N_TRIGEMINALNEURALGIA_COV,lb_N_TRIGEMINALNEURALGIA_COV,ub_N_TRIGEMINALNEURALGIA_COV,IR_SO_CONJUNCTIVITIS_COV,lb_SO_CONJUNCTIVITIS_COV,ub_SO_CONJUNCTIVITIS_COV,IR_SO_OTITISEXT_COV,lb_SO_OTITISEXT_COV,ub_SO_OTITISEXT_COV,IR_V_RENOVASCULAR_COV,lb_V_RENOVASCULAR_COV,ub_V_RENOVASCULAR_COV
F,2,unk,June,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,118397.47,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,118397.47,0,0,115356.44,0,0,115356.44,0,0,115455.29,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115455.29,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,34199.44,865.85,190547.07,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,116252.22,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,115356.44,0,0,118397.47
F,2,unk,June,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,143184.19,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,143184.19,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,143184.19,0,0,138760.37,0,0,171857.55,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,143184.19,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,152935.67,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37
F,2,unk,June,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,104853.17,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,104853.17,0,0,109988.83,0,0,102930.73,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,107445.23,0,0,100624.59,38609.94,977.52,215120.8,0,0,100624.59,0,0,100624.59,0,0,102461.08,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100699.79,0,0,109009.97,0,0,106764.12,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100624.59,0,0,100699.79,0,0,100624.59,0,0,100624.59
F,2,unk,June,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,46605.44,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,46605.44,0,0,47643.68,0,0,45657.85,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,45198.36,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,45198.36,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,46126.78,0,0,44748.03,0,0,58126.11,0,0,45243.9,0,0,44748.03,0,0,45198.36,0,0,44748.03,0,0,45198.36,0,0,45198.36,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,47094.14,0,0,45657.85,0,0,44748.03,0,0,44748.03,0,0,45657.85,0,0,44748.03,0,0,44748.03,0,0,44748.03,0,0,44748.03
F,3,unk,May,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23
F,3,unk,June,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74
M,0,,January,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83,0,0,91532.83
M,0,,January,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52962.39,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79,0,0,52324.79
M,0,,January,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51,0,0,43337.51
M,0,,January,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92,0,0,63137.92
M,0,,January,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51,0,0,32806.51
M,0,,January,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18594.58,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37,0,0,18515.37
M,0,,January,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05,0,0,39910.05
M,0,,January,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62,0,0,20744.62
M,0,,January,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,6323.58,160.1,35232.73,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69,0,0,23298.69
